t,x_est,y_est,vx_est,vy_est
11.7,58.3568,25.3587,4.74011,2.35462
11.8,58.4938,25.9294,4.51566,2.57782
11.9,58.7359,25.6508,4.37621,2.22068
12,59.6614,25.9017,4.70106,2.23988
12.1,60.2926,26.0651,4.80832,2.19956
12.2,60.5027,25.4771,4.62806,1.66156
12.3,61.1941,25.7309,4.78029,1.71997
12.4,61.6401,26.1768,4.75894,1.90231
12.5,61.7488,26.2898,4.51444,1.85089
12.6,62.6038,26.7824,4.78314,2.05562
12.7,62.7531,26.4732,4.56407,1.71291
12.8,63.1277,26.8812,4.50962,1.87053
12.9,63.9343,27.2424,4.74639,1.98644
13,64.141,27.6516,4.56804,2.12669
13.1,64.3579,27.6922,4.4083,2.01212
13.2,64.7439,27.6714,4.37174,1.8643
13.3,65.2478,27.7615,4.41623,1.80011
13.4,65.7498,27.9837,4.45639,1.82823
13.5,66.2192,28.194,4.47224,1.84652
13.6,67.1511,28.7152,4.79492,2.07058
13.7,67.7223,28.6327,4.85602,1.87779
13.8,67.8187,28.4347,4.59685,1.62094
13.9,69.1274,29.0887,5.16215,1.9485
14,69.7167,29.1657,5.21081,1.87003
14.1,69.9057,29.6777,4.98969,2.08637
14.2,70.8738,29.5409,5.30207,1.85638
14.3,71.2416,29.8806,5.19391,1.95896
14.4,71.1882,30.4686,4.81254,2.22005
14.5,71.618,31.3243,4.77832,2.64199
14.6,72.0611,31.7065,4.75517,2.72057
14.7,72.3004,31.7818,4.5979,2.58957
14.8,72.5552,32.1469,4.46142,2.6602
14.9,73.5209,32.2203,4.80736,2.53193
15,74.2097,32.3253,4.94586,2.43332
15.1,74.7896,32.9087,5.00269,2.6597
15.2,75.3671,32.8351,5.05412,2.43364
15.3,75.6648,33.0213,4.91577,2.39559
15.4,76.1632,33.0116,4.92034,2.2296
15.5,76.7652,33.6104,4.99358,2.47982
15.6,77.2385,33.7647,4.97619,2.41744
15.7,77.1702,33.7606,4.59937,2.25378
15.8,77.3735,33.8788,4.42851,2.18244
15.9,78.1372,34.5341,4.64217,2.47339
16,79.236,34.6933,5.06471,2.41475
16.1,79.6963,35.1133,5.03393,2.53363
16.2,80.3839,35.498,5.15656,2.62103
16.3,81.1348,35.2382,5.31321,2.27352
16.4,81.7967,35.3991,5.40014,2.22932
16.5,82.0795,35.3936,5.22892,2.07717
16.6,82.9447,35.3711,5.45684,1.92389
16.7,83.0746,35.6514,5.17999,1.98245
16.8,84.1349,35.8721,5.54105,1.99738
16.9,84.6714,35.8216,5.52931,1.83076
17,85.5806,36.0872,5.76657,1.88575
17.1,86.132,36.0478,5.74974,1.73394
17.2,86.7622,36.4018,5.78651,1.85418
17.3,86.8145,36.6469,5.43603,1.89393
17.4,87.0927,36.9085,5.25932,1.94203
17.5,87.4393,37.0825,5.13993,1.92854
17.6,87.5762,37.2219,4.88884,1.89294
17.7,88.2409,37.9431,5.00592,2.24715
17.8,88.353,38.7983,4.74721,2.66693
17.9,89.2432,38.9823,5.02386,2.61189
18,89.5914,38.9219,4.9212,2.39777
18.1,90.2657,38.88,5.0425,2.21018
18.2,90.563,39.2948,4.90473,2.33923
18.3,91.125,39.6937,4.95232,2.44905
18.4,91.6998,39.7119,5.00535,2.29815
18.5,91.9832,40.0752,4.86076,2.38697
18.6,92.2386,40.531,4.70717,2.53156
18.7,92.92,40.7122,4.84743,2.48361
18.8,93.3662,40.9125,4.82179,2.45164
18.9,94.7972,40.9756,5.45352,2.33039
19,94.7338,41.6111,5.04819,2.59839
19.1,95.3147,41.4939,5.09887,2.34736
19.2,96.4458,41.7328,5.51249,2.35011
19.3,96.8748,41.5957,5.43108,2.10236
19.4,96.9252,41.2083,5.10303,1.7044
19.5,97.1865,41.068,4.93724,1.49752
19.6,97.7625,41.1626,4.99199,1.46081
19.7,98.6422,41.7785,5.24534,1.7736
19.8,99.0405,41.8635,5.16132,1.71215
19.9,99.7179,41.7185,5.26869,1.5016
20,100.243,41.7366,5.26735,1.41364
20.1,100.461,41.7719,5.06194,1.34306
20.2,100.969,41.795,5.0632,1.26896
20.3,101.015,42.2073,4.75683,1.45902
20.4,101.272,42.5532,4.61137,1.59221
20.5,101.567,42.8647,4.50045,1.69359
20.6,101.261,43.2243,3.99673,1.82026
20.7,102.251,43.7326,4.39008,2.0375
20.8,102.941,43.8601,4.55711,1.9867
20.9,103.412,44.1282,4.56731,2.03294
21,103.861,44.0912,4.5621,1.87296
21.1,104.188,44.2558,4.47608,1.85784
21.2,104.492,44.7055,4.38064,2.03355
21.3,105.653,44.5331,4.86197,1.78335
21.4,106.088,44.3574,4.82803,1.54764
21.5,106.854,45.0083,5.01628,1.87796
21.6,106.77,45.7729,4.62635,2.26206
21.7,106.892,46.0129,4.39988,2.27125
21.8,107.654,46.2255,4.61425,2.26155
21.9,108.729,47.1607,5.02253,2.73365
22,109.154,46.7349,4.97131,2.26811
22.1,109.442,46.6505,4.83227,2.0609
22.2,109.634,46.5093,4.63829,1.82968
22.3,110.085,47.2965,4.62921,2.23201
22.4,110.317,47.3712,4.47548,2.13313
22.5,111.094,47.8713,4.69525,2.32409
22.6,111.659,48.2945,4.75878,2.45111
22.7,112.325,48.3051,4.88503,2.29499
22.8,112.851,48.3519,4.91048,2.1733
22.9,113.003,48.6695,4.68435,2.24009
23,113.449,48.7473,4.66971,2.14277
23.1,113.96,49.1613,4.69917,2.27575
23.2,114.497,49.3366,4.74335,2.24091
23.3,114.996,49.473,4.75983,2.18255
23.4,115.198,49.8188,4.57742,2.26744
23.5,116.029,49.7841,4.82612,2.09334
23.6,116.975,49.8675,5.13491,2.00949
23.7,117.276,49.7598,4.99328,1.80401
23.8,117.435,49.6628,4.76659,1.61933
23.9,117.937,50.303,4.78336,1.93776
24,118.484,50.7035,4.82885,2.07542
24.1,119.25,50.1545,5.01743,1.57167
24.2,119.57,50.4624,4.89626,1.67204
24.3,120.146,50.3031,4.95385,1.45465
24.4,120.231,50.7603,4.68106,1.66218
24.5,120.595,51.1343,4.61123,1.80056
24.6,120.731,50.8878,4.39515,1.51653
24.7,121.375,51.4681,4.53119,1.80196
24.8,122.249,51.2618,4.81123,1.54461
24.9,122.263,51.1074,4.5005,1.33892
25,122.675,51.2244,4.47522,1.3277
25.1,123.471,51.119,4.70728,1.1691
25.2,123.39,51.5063,4.33997,1.34912
25.3,124.173,51.6032,4.572,1.32385
25.4,124.247,51.8958,4.31691,1.43051
25.5,124.251,52.2332,4.03234,1.55992
25.6,124.983,52.62,4.25096,1.71362
25.7,124.934,52.7851,3.93514,1.70942
25.8,125.377,53.6108,3.96833,2.14542
25.9,126.165,53.8671,4.22916,2.17316
26,127.042,53.8442,4.53095,2.01324
26.1,127.425,54.5253,4.48478,2.33271
26.2,128.333,54.9781,4.79026,2.47887
26.3,128.923,55.0421,4.86464,2.35646
26.4,129.575,55.0479,4.97431,2.20342
26.5,130.163,55.3777,5.03497,2.27629
26.6,130.898,55.4993,5.1892,2.20568
26.7,131.47,55.9663,5.22443,2.36976
26.8,131.604,56.2332,4.96544,2.38971
26.9,132.458,56.4805,5.20345,2.39523
27,132.748,56.8181,5.05015,2.46052
27.1,133.059,57.1388,4.92123,2.51025
27.2,133.421,57.3188,4.83449,2.46295
27.3,133.957,57.8826,4.86951,2.67432
27.4,134.485,58.494,4.89703,2.90336
27.5,134.317,58.4835,4.45927,2.70306
27.6,134.832,58.3777,4.50524,2.45264
27.7,134.924,58.6977,4.26637,2.50238
27.8,135.575,58.9139,4.41572,2.47971
27.9,136.154,58.8024,4.50724,2.2404
28,136.478,58.9263,4.42298,2.17371
28.1,136.764,59.1772,4.31865,2.19603
28.2,137.918,59.1958,4.79969,2.06223
28.3,138.542,59.0744,4.89526,1.8441
28.4,139.347,58.9975,5.10523,1.67008
28.5,139.809,59.0423,5.07341,1.58872
28.6,140.357,59.2773,5.10015,1.63939
28.7,140.743,60.3308,5.01779,2.2317
28.8,140.973,60.4824,4.83673,2.18405
28.9,142.146,60.3307,5.29589,1.93763
29,142.669,60.2269,5.29146,1.73946
29.1,143.319,60.5401,5.37205,1.83219
29.2,143.848,60.6769,5.36629,1.8013
29.3,144.257,61.3079,5.28102,2.10147
29.4,143.966,61.0388,4.73583,1.78241
29.5,144.486,61.08,4.76683,1.69118
29.6,144.805,60.9006,4.66191,1.45907
29.7,144.968,61.058,4.46005,1.46675
29.8,145.208,61.0927,4.32291,1.39222
29.9,145.555,61.1226,4.26598,1.31943
30,146.407,61.1572,4.54951,1.25457
